"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","unlock_level","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes"
"WAR__Fervor_of_Battle_","Fervor of Battle","FoB","single target damage enhancement, which also allows the abilities to stack Collateral Damage. The...","single target damage enhancement, which also allows the abilities to stack Collateral Damage. The auto-cast Slam does not cost rage.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Invigorating_Fury_","Invigorating Fury","","situationally useful in PvP, but otherwise much worse than Warpaint.","situationally useful in PvP, but otherwise much worse than Warpaint.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Disrupting_Shout_","Disrupting Shout","","Reduces the cooldown of Challenging Shout to 90s and converts it into an AoE taunt/interrupt. Coo...","Reduces the cooldown of Challenging Shout to 90s and converts it into an AoE taunt/interrupt. Cool concept, decent in Mythic+, and useful on some raid bosses!","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Strategist_","Strategist","","Critical rotational functionality. Absolutely mandatory talent. Not just for pathing reasons.","Critical rotational functionality. Absolutely mandatory talent. Not just for pathing reasons.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR_Grant_Extra_Attack","Grant Extra Attack","","","","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Cacophonous_Roar_","Cacophonous Roar","","still broken far too easily in group content, only moderately viable in PvP.","still broken far too easily in group content, only moderately viable in PvP.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Menace_","Menace","","still easily broken in PvE, though moderately more useful due to the knockback.","still easily broken in PvE, though moderately more useful due to the knockback.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Barbaric_Training_","Barbaric Training","","only useful for Mountain Thane in multitarget.","only useful for Mountain Thane in multitarget.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Focus_in_Chaos_","Focus in Chaos","","removes the 19% dual wield miss penalty from auto-attacks, although they can still be parried.","removes the 19% dual wield miss penalty from auto-attacks, although they can still be parried.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Improved_Raging_Blow_","Improved Raging Blow","","critical talent which enables Raging Blow resets.","critical talent which enables Raging Blow resets.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Instigate_","Instigate","","Basically auto-attack rage generation by 2 and performs very well.","Basically auto-attack rage generation by 2 and performs very well.","Offensive","","","5","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Bitter_Immunity_","Bitter Immunity","","highly situational due to its long cooldown.","highly situational due to its long cooldown.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Overwhelming_Rage_","Overwhelming Rage","","eases the burdens of rage management.","eases the burdens of rage management.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Reinforced_Plates_","Reinforced Plates","","synergizes with Armored to the Teeth to provide additional damage.","synergizes with Armored to the Teeth to provide additional damage.","Offensive","","","6","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
